time,cpu,gc,size,used,classes,classes_shared,live,daemon
"09:18:41.693, 16 maj 2023","8,3","0,0","130 023 424","73 812 104","9 829","0","32","22"
"09:18:42.693, 16 maj 2023","4,3","0,0","130 023 424","90 886 992","9 829","0","32","22"
"09:18:43.694, 16 maj 2023","4,2","0,0","130 023 424","105 846 856","9 829","0","32","22"
"09:18:44.694, 16 maj 2023","5,7","0,0","130 023 424","85 327 872","9 829","0","32","22"
"09:18:45.695, 16 maj 2023","4,8","0,0","130 023 424","102 159 600","9 829","0","32","22"
"09:18:46.697, 16 maj 2023","4,8","0,0","130 023 424","81 398 096","9 829","0","32","22"
"09:18:47.699, 16 maj 2023","4,8","0,0","130 023 424","94 135 296","9 829","0","32","22"
"09:18:48.700, 16 maj 2023","4,5","0,0","130 023 424","79 583 392","9 829","0","32","22"
"09:18:49.700, 16 maj 2023","9,6","0,0","130 023 424","98 676 576","9 829","0","32","22"
"09:18:50.700, 16 maj 2023","6,8","0,0","130 023 424","86 261 760","9 830","0","32","22"
"09:18:51.700, 16 maj 2023","6,5","0,0","130 023 424","75 951 888","9 830","0","32","22"
"09:18:52.702, 16 maj 2023","4,4","0,0","130 023 424","94 777 816","9 830","0","32","22"
"09:18:53.702, 16 maj 2023","4,3","0,0","130 023 424","82 148 136","9 830","0","32","22"
"09:18:54.702, 16 maj 2023","9,1","0,0","130 023 424","103 342 480","9 830","0","32","22"
"09:18:55.702, 16 maj 2023","6,6","0,0","130 023 424","84 460 368","9 830","0","32","22"
"09:18:56.704, 16 maj 2023","4,4","0,0","130 023 424","101 340 224","9 830","0","32","22"
"09:18:57.706, 16 maj 2023","4,4","0,0","130 023 424","82 358 440","9 830","0","32","22"
"09:18:58.706, 16 maj 2023","4,1","0,0","130 023 424","95 044 480","9 830","0","32","22"
"09:18:59.708, 16 maj 2023","7,1","0,0","130 023 424","78 352 512","9 830","0","32","22"
"09:19:00.709, 16 maj 2023","4,7","0,0","130 023 424","90 986 176","9 830","0","32","22"
"09:19:01.709, 16 maj 2023","4,4","0,0","130 023 424","74 212 864","9 830","0","32","22"
"09:19:02.711, 16 maj 2023","4,1","0,0","130 023 424","90 910 832","9 830","0","32","22"
"09:19:03.712, 16 maj 2023","4,3","0,0","130 023 424","76 322 080","9 830","0","32","22"
"09:19:04.713, 16 maj 2023","4,4","0,0","130 023 424","93 042 368","9 832","0","32","22"
"09:19:05.714, 16 maj 2023","4,6","0,0","130 023 424","76 429 792","9 832","0","32","22"
"09:19:06.714, 16 maj 2023","4,1","0,0","130 023 424","93 264 544","9 832","0","32","22"
"09:19:07.716, 16 maj 2023","4,8","0,0","130 023 424","76 459 360","9 832","0","32","22"
"09:19:08.716, 16 maj 2023","4,1","0,0","130 023 424","93 411 432","9 832","0","32","22"
"09:19:09.717, 16 maj 2023","4,2","0,0","130 023 424","78 806 656","9 832","0","32","22"
"09:19:10.718, 16 maj 2023","4,2","0,0","130 023 424","93 565 792","9 832","0","31","21"
"09:19:11.718, 16 maj 2023","4,7","0,0","130 023 424","83 218 432","9 832","0","31","21"
"09:19:12.720, 16 maj 2023","4,3","0,0","130 023 424","100 117 424","9 832","0","31","21"
"09:19:13.721, 16 maj 2023","4,3","0,0","130 023 424","93 953 248","9 832","0","31","21"
"09:19:14.721, 16 maj 2023","4,1","0,0","130 023 424","85 577 408","9 832","0","31","21"
"09:19:15.721, 16 maj 2023","4,2","0,0","130 023 424","77 335 560","9 832","0","31","21"
"09:19:16.722, 16 maj 2023","4,1","0,0","130 023 424","98 310 928","9 832","0","31","21"
"09:19:17.723, 16 maj 2023","4,3","0,0","130 023 424","90 019 328","9 832","0","31","21"
"09:19:18.723, 16 maj 2023","4,1","0,0","130 023 424","102 595 344","9 832","0","31","21"
"09:19:19.724, 16 maj 2023","4,3","0,0","130 023 424","88 007 152","9 832","0","31","21"
"09:19:20.724, 16 maj 2023","4,3","0,0","130 023 424","106 803 264","9 832","0","31","21"
"09:19:21.724, 16 maj 2023","4,2","0,0","130 023 424","92 256 248","9 832","0","31","21"
"09:19:22.725, 16 maj 2023","4,2","0,0","130 023 424","75 540 320","9 832","0","31","21"
"09:19:23.725, 16 maj 2023","4,2","0,0","130 023 424","92 315 008","9 832","0","31","21"
"09:19:24.727, 16 maj 2023","4,1","0,0","130 023 424","75 679 696","9 832","0","31","21"
"09:19:25.727, 16 maj 2023","4,9","0,0","130 023 424","92 381 984","9 832","0","31","21"
"09:19:26.727, 16 maj 2023","4,5","0,0","130 023 424","75 681 408","9 832","0","31","21"
"09:19:27.728, 16 maj 2023","4,1","0,0","130 023 424","94 671 200","9 832","0","31","21"
"09:19:28.728, 16 maj 2023","4,3","0,0","130 023 424","77 889 792","9 832","0","31","21"
"09:19:29.730, 16 maj 2023","3,9","0,0","130 023 424","94 631 104","9 832","0","31","21"
"09:19:30.731, 16 maj 2023","4,2","0,0","130 023 424","77 844 800","9 832","0","31","21"
"09:19:31.731, 16 maj 2023","4,1","0,0","130 023 424","94 789 296","9 832","0","31","21"
"09:19:32.732, 16 maj 2023","4,4","0,0","130 023 424","77 996 448","9 832","0","31","21"
"09:19:33.732, 16 maj 2023","4,1","0,0","130 023 424","94 662 496","9 832","0","31","21"
"09:19:34.733, 16 maj 2023","4,2","0,0","130 023 424","77 950 256","9 832","0","31","21"
"09:19:35.734, 16 maj 2023","4,1","0,0","130 023 424","94 815 624","9 832","0","31","21"
"09:19:36.735, 16 maj 2023","4,2","0,0","130 023 424","78 105 440","9 832","0","31","21"
"09:19:37.735, 16 maj 2023","4,1","0,0","130 023 424","94 927 960","9 832","0","31","21"
"09:19:38.735, 16 maj 2023","4,2","0,0","130 023 424","78 334 464","9 832","0","31","21"
"09:19:39.736, 16 maj 2023","4,3","0,0","130 023 424","97 305 528","9 832","0","31","21"
"09:19:40.737, 16 maj 2023","4,2","0,0","130 023 424","84 860 120","9 832","0","31","21"
"09:19:41.738, 16 maj 2023","4,3","0,0","130 023 424","78 613 480","9 832","0","31","21"
"09:19:42.739, 16 maj 2023","4,3","0,0","130 023 424","99 761 280","9 832","0","31","21"
"09:19:43.740, 16 maj 2023","4,2","0,0","130 023 424","91 349 216","9 832","0","31","21"
"09:19:44.741, 16 maj 2023","4,2","0,0","130 023 424","89 374 728","9 832","0","31","21"
"09:19:45.743, 16 maj 2023","4,2","0,0","130 023 424","85 201 760","9 832","0","31","21"
"09:19:46.743, 16 maj 2023","4,5","0,0","130 023 424","83 094 912","9 832","0","31","21"
"09:19:47.743, 16 maj 2023","4,3","0,0","130 023 424","76 913 288","9 832","0","31","21"
"09:19:48.743, 16 maj 2023","4,2","0,0","130 023 424","97 933 208","9 832","0","31","21"
"09:19:49.744, 16 maj 2023","4,2","0,0","130 023 424","85 427 104","9 832","0","31","21"
"09:19:50.745, 16 maj 2023","4,2","0,0","130 023 424","104 386 304","9 832","0","31","21"
"09:19:51.745, 16 maj 2023","4,2","0,0","130 023 424","93 960 384","9 832","0","31","21"
"09:19:52.747, 16 maj 2023","4,3","0,0","130 023 424","81 383 376","9 832","0","31","21"
"09:19:53.748, 16 maj 2023","4,2","0,0","130 023 424","102 341 128","9 832","0","31","21"
"09:19:54.749, 16 maj 2023","4,1","0,0","130 023 424","89 860 064","9 832","0","31","21"
"09:19:55.749, 16 maj 2023","4,5","0,0","130 023 424","77 408 488","9 832","0","31","21"
"09:19:56.750, 16 maj 2023","4,1","0,0","130 023 424","96 228 752","9 832","0","31","21"
"09:19:57.751, 16 maj 2023","4,3","0,0","130 023 424","83 720 256","9 832","0","31","21"
"09:19:58.753, 16 maj 2023","4,1","0,0","130 023 424","102 595 232","9 832","0","31","21"
"09:19:59.753, 16 maj 2023","4,1","0,0","130 023 424","92 094 464","9 832","0","31","21"
"09:20:00.754, 16 maj 2023","4,4","0,0","130 023 424","79 607 384","9 832","0","31","21"
"09:20:01.754, 16 maj 2023","4,1","0,0","130 023 424","94 291 888","9 832","0","31","21"
"09:20:02.756, 16 maj 2023","4,7","0,0","130 023 424","86 010 440","9 832","0","31","21"
"09:20:03.757, 16 maj 2023","4,2","0,0","130 023 424","105 094 400","9 832","0","31","21"
"09:20:04.758, 16 maj 2023","4,1","0,0","130 023 424","92 608 880","9 832","0","31","21"
"09:20:05.759, 16 maj 2023","4,3","0,0","130 023 424","82 244 096","9 832","0","31","21"
"09:20:06.759, 16 maj 2023","4,2","0,0","130 023 424","99 102 896","9 832","0","31","21"
"09:20:07.759, 16 maj 2023","4,3","0,0","130 023 424","94 963 152","9 832","0","31","21"
"09:20:08.760, 16 maj 2023","5,8","0,0","130 023 424","88 804 864","9 832","0","31","21"
"09:20:09.761, 16 maj 2023","5,8","0,0","130 023 424","105 618 000","9 832","0","31","21"
"09:20:10.762, 16 maj 2023","4,2","0,0","130 023 424","95 143 344","9 832","0","31","21"
"09:20:11.762, 16 maj 2023","4,3","0,0","130 023 424","84 786 944","9 832","0","31","21"
"09:20:12.762, 16 maj 2023","4,3","0,0","130 023 424","78 573 208","9 832","0","31","21"
"09:20:13.764, 16 maj 2023","4,2","0,0","130 023 424","99 575 328","9 832","0","31","21"
"09:20:14.764, 16 maj 2023","4,2","0,0","130 023 424","89 306 784","9 832","0","31","21"
"09:20:15.765, 16 maj 2023","4,3","0,0","130 023 424","85 225 472","9 832","0","31","21"
"09:20:16.766, 16 maj 2023","4,1","0,0","130 023 424","103 990 976","9 832","0","31","21"
"09:20:17.766, 16 maj 2023","4,3","0,0","130 023 424","100 207 904","9 832","0","31","21"
"09:20:18.768, 16 maj 2023","4,3","0,0","130 023 424","93 872 608","9 832","0","31","21"
"09:20:19.768, 16 maj 2023","4,2","0,0","130 023 424","87 733 376","9 832","0","31","21"
"09:20:20.769, 16 maj 2023","4,2","0,0","130 023 424","79 426 256","9 832","0","31","21"
"09:20:21.769, 16 maj 2023","4,5","0,0","130 023 424","100 333 456","9 832","0","31","21"
"09:20:22.770, 16 maj 2023","4,3","0,0","130 023 424","94 223 680","9 832","0","31","21"
"09:20:23.770, 16 maj 2023","4,1","0,0","130 023 424","85 950 824","9 832","0","31","21"
"09:20:24.771, 16 maj 2023","4,2","0,0","130 023 424","106 937 416","9 832","0","31","21"
"09:20:25.771, 16 maj 2023","4,2","0,0","130 023 424","98 731 008","9 832","0","31","21"
"09:20:26.771, 16 maj 2023","4,2","0,0","130 023 424","90 414 008","9 832","0","31","21"
"09:20:27.773, 16 maj 2023","4,3","0,0","130 023 424","82 208 176","9 832","0","31","21"
"09:20:28.773, 16 maj 2023","4,2","0,0","130 023 424","107 402 808","9 832","0","31","21"
"09:20:29.774, 16 maj 2023","4,3","0,0","130 023 424","101 364 320","9 832","0","32","22"
"09:20:30.775, 16 maj 2023","4,3","0,0","130 023 424","101 697 592","9 832","0","32","22"
"09:20:31.776, 16 maj 2023","4,3","0,0","130 023 424","101 977 936","9 832","0","32","22"
"09:20:32.776, 16 maj 2023","4,6","0,0","130 023 424","83 502 624","9 832","0","32","22"
"09:20:33.776, 16 maj 2023","4,2","0,0","130 023 424","83 434 168","9 832","0","32","22"
"09:20:34.777, 16 maj 2023","4,2","0,0","130 023 424","88 014 376","9 832","0","32","22"
"09:20:35.778, 16 maj 2023","4,3","0,0","130 023 424","92 253 776","9 832","0","32","22"
"09:20:36.778, 16 maj 2023","4,3","0,0","130 023 424","96 464 008","9 832","0","32","22"
"09:20:37.779, 16 maj 2023","4,3","0,0","130 023 424","94 637 568","9 832","0","32","22"
"09:20:38.780, 16 maj 2023","4,2","0,0","130 023 424","90 379 520","9 832","0","32","22"
"09:20:39.782, 16 maj 2023","4,2","0,0","130 023 424","86 324 784","9 832","0","32","22"
"09:20:40.783, 16 maj 2023","4,2","0,0","130 023 424","82 252 248","9 832","0","32","22"
"09:20:41.784, 16 maj 2023","4,3","0,0","130 023 424","103 233 488","9 832","0","32","22"
"09:20:42.784, 16 maj 2023","4,2","0,0","130 023 424","101 180 224","9 832","0","32","22"
"09:20:43.784, 16 maj 2023","4,3","0,0","130 023 424","96 973 440","9 832","0","32","22"
"09:20:44.785, 16 maj 2023","4,2","0,0","130 023 424","95 016 736","9 832","0","32","22"
"09:20:45.785, 16 maj 2023","4,3","0,0","130 023 424","90 892 736","9 832","0","32","22"
"09:20:46.787, 16 maj 2023","4,2","0,0","130 023 424","86 605 024","9 832","0","32","22"
"09:20:47.788, 16 maj 2023","4,3","0,0","130 023 424","86 872 440","9 832","0","32","22"
"09:20:48.788, 16 maj 2023","4,2","0,0","130 023 424","86 873 648","9 832","0","32","22"
"09:20:49.789, 16 maj 2023","4,2","0,0","130 023 424","86 775 104","9 832","0","32","22"
"09:20:50.789, 16 maj 2023","4,3","0,0","130 023 424","88 996 072","9 832","0","32","22"
"09:20:51.790, 16 maj 2023","4,3","0,0","130 023 424","87 014 480","9 832","0","32","22"
"09:20:52.790, 16 maj 2023","4,2","0,0","130 023 424","89 058 208","9 832","0","32","22"
"09:20:53.792, 16 maj 2023","4,4","0,0","130 023 424","89 179 584","9 832","0","32","22"
"09:20:54.792, 16 maj 2023","4,1","0,0","130 023 424","91 492 104","9 832","0","32","22"
"09:20:55.793, 16 maj 2023","4,3","0,0","130 023 424","93 538 744","9 832","0","32","22"
"09:20:56.793, 16 maj 2023","4,3","0,0","130 023 424","93 550 608","9 832","0","32","22"
"09:20:57.794, 16 maj 2023","4,4","0,0","130 023 424","95 610 360","9 832","0","32","22"
"09:20:58.795, 16 maj 2023","4,1","0,0","130 023 424","95 746 528","9 832","0","32","22"
"09:20:59.795, 16 maj 2023","4,3","0,0","130 023 424","93 789 824","9 832","0","31","21"
"09:21:00.796, 16 maj 2023","4,3","0,0","130 023 424","97 953 712","9 832","0","31","21"
"09:21:01.797, 16 maj 2023","4,7","0,0","130 023 424","95 966 184","9 832","0","31","21"
"09:21:02.797, 16 maj 2023","4,3","0,0","130 023 424","96 019 216","9 832","0","32","22"
"09:21:03.797, 16 maj 2023","4,5","0,0","130 023 424","100 427 680","9 832","0","32","22"
"09:21:04.798, 16 maj 2023","4,2","0,0","130 023 424","100 535 904","9 832","0","32","22"
"09:21:05.798, 16 maj 2023","5,6","0,0","130 023 424","100 635 264","9 832","0","32","22"
"09:21:06.800, 16 maj 2023","4,3","0,0","130 023 424","102 905 800","9 832","0","32","22"
"09:21:07.801, 16 maj 2023","4,4","0,0","130 023 424","100 965 928","9 832","0","32","22"
"09:21:08.801, 16 maj 2023","4,4","0,0","130 023 424","102 996 864","9 832","0","32","22"
"09:21:09.802, 16 maj 2023","4,1","0,0","130 023 424","103 114 240","9 832","0","32","22"
"09:21:10.804, 16 maj 2023","4,3","0,0","130 023 424","105 439 360","9 832","0","32","22"
"09:21:11.805, 16 maj 2023","4,2","0,0","130 023 424","103 424 480","9 832","0","32","22"
"09:21:12.806, 16 maj 2023","4,4","0,0","130 023 424","105 632 288","9 832","0","32","22"
"09:21:13.807, 16 maj 2023","4,4","0,0","130 023 424","84 887 344","9 832","0","32","22"
"09:21:14.808, 16 maj 2023","4,1","0,0","130 023 424","89 266 584","9 832","0","32","22"
"09:21:15.808, 16 maj 2023","4,3","0,0","130 023 424","93 358 816","9 832","0","32","22"
"09:21:16.809, 16 maj 2023","4,3","0,0","130 023 424","95 660 408","9 832","0","32","22"
"09:21:17.810, 16 maj 2023","4,2","0,0","130 023 424","99 990 576","9 832","0","32","22"
"09:21:18.812, 16 maj 2023","4,3","0,0","130 023 424","85 383 120","9 832","0","32","22"
"09:21:19.812, 16 maj 2023","4,4","0,0","130 023 424","87 702 712","9 832","0","32","22"
"09:21:20.813, 16 maj 2023","4,3","0,0","130 023 424","94 078 080","9 832","0","32","22"
"09:21:21.814, 16 maj 2023","4,2","0,0","130 023 424","98 477 408","9 832","0","32","22"
"09:21:22.814, 16 maj 2023","4,3","0,0","130 023 424","102 792 336","9 832","0","32","22"
"09:21:23.814, 16 maj 2023","4,2","0,0","130 023 424","107 063 048","9 832","0","32","22"
"09:21:24.816, 16 maj 2023","4,6","0,0","130 023 424","88 212 704","9 832","0","32","22"
"09:21:25.816, 16 maj 2023","4,3","0,0","130 023 424","94 627 632","9 832","0","32","22"
"09:21:26.818, 16 maj 2023","4,6","0,0","130 023 424","98 978 168","9 832","0","32","22"
"09:21:27.818, 16 maj 2023","4,4","0,0","130 023 424","103 361 376","9 832","0","32","22"
"09:21:28.819, 16 maj 2023","4,3","0,0","130 023 424","107 671 736","9 832","0","32","22"
"09:21:29.819, 16 maj 2023","4,4","0,0","130 023 424","91 051 360","9 832","0","32","22"
"09:21:30.824, 16 maj 2023","4,5","0,0","130 023 424","97 442 512","9 832","0","32","22"
"09:21:31.823, 16 maj 2023","5,4","0,0","130 023 424","87 231 536","9 832","0","33","23"
"09:21:32.824, 16 maj 2023","5,5","0,0","130 023 424","97 958 592","9 832","0","33","23"
"09:21:33.824, 16 maj 2023","4,3","0,0","130 023 424","94 018 552","9 832","0","33","23"
"09:21:34.824, 16 maj 2023","7,1","0,0","130 023 424","94 266 880","9 832","0","33","23"
"09:21:35.826, 16 maj 2023","4,3","0,0","130 023 424","100 828 128","9 832","0","33","23"
"09:21:36.827, 16 maj 2023","4,8","0,0","130 023 424","96 833 880","9 832","0","33","23"
"09:21:37.827, 16 maj 2023","4,5","0,0","130 023 424","105 289 472","9 832","0","33","23"
"09:21:38.829, 16 maj 2023","4,4","0,0","130 023 424","92 949 256","9 832","0","33","23"
"09:21:39.830, 16 maj 2023","4,2","0,0","130 023 424","105 808 744","9 832","0","33","23"
"09:21:40.830, 16 maj 2023","4,7","0,0","130 023 424","99 576 104","9 832","0","33","23"
"09:21:41.831, 16 maj 2023","4,5","0,0","130 023 424","93 283 584","9 832","0","33","23"
"09:21:42.831, 16 maj 2023","4,7","0,0","130 023 424","103 925 536","9 832","0","33","23"
"09:21:43.833, 16 maj 2023","4,4","0,0","130 023 424","102 027 192","9 832","0","33","23"
"09:21:44.833, 16 maj 2023","4,5","0,0","130 023 424","95 727 600","9 832","0","33","23"
"09:21:45.834, 16 maj 2023","4,7","0,0","130 023 424","91 877 408","9 832","0","33","23"
"09:21:46.836, 16 maj 2023","4,4","0,0","130 023 424","102 496 368","9 832","0","33","23"
"09:21:47.836, 16 maj 2023","4,7","0,0","130 023 424","98 485 640","9 832","0","33","23"
"09:21:48.837, 16 maj 2023","4,6","0,0","130 023 424","94 496 032","9 832","0","33","23"
"09:21:49.837, 16 maj 2023","4,6","0,0","130 023 424","107 208 720","9 832","0","33","23"
"09:21:50.837, 16 maj 2023","5,9","0,0","130 023 424","101 174 440","9 832","0","33","23"
"09:21:51.839, 16 maj 2023","6,7","0,0","130 023 424","95 177 024","9 832","0","33","23"
"09:21:52.839, 16 maj 2023","4,8","0,0","130 023 424","95 391 200","9 832","0","33","23"
"09:21:53.841, 16 maj 2023","5,4","0,0","130 023 424","98 056 448","9 832","0","34","24"
"09:21:54.843, 16 maj 2023","5,1","0,0","130 023 424","100 313 376","9 832","0","34","24"
"09:21:55.843, 16 maj 2023","4,6","0,0","130 023 424","102 732 416","9 832","0","34","24"
"09:21:56.844, 16 maj 2023","5,9","0,0","130 023 424","105 116 176","9 832","0","34","24"
"09:21:57.845, 16 maj 2023","5,0","0,1","130 023 424","105 382 936","9 832","0","34","24"
"09:21:58.845, 16 maj 2023","4,6","0,1","130 023 424","93 229 152","9 832","0","34","24"
"09:21:59.846, 16 maj 2023","4,3","0,0","130 023 424","99 851 584","9 832","0","34","24"
"09:22:00.846, 16 maj 2023","4,4","0,0","130 023 424","94 047 472","9 832","0","34","24"
"09:22:01.847, 16 maj 2023","4,6","0,0","130 023 424","102 671 840","9 832","0","34","24"
"09:22:02.847, 16 maj 2023","4,7","0,1","130 023 424","98 891 616","9 832","0","34","24"
"09:22:03.847, 16 maj 2023","4,8","0,0","130 023 424","99 196 544","9 832","0","34","24"
"09:22:04.848, 16 maj 2023","4,3","0,0","130 023 424","99 550 472","9 832","0","34","24"
"09:22:05.849, 16 maj 2023","4,6","0,0","130 023 424","99 899 648","9 832","0","34","24"
"09:22:06.849, 16 maj 2023","5,0","0,1","130 023 424","100 176 560","9 832","0","34","24"
"09:22:07.849, 16 maj 2023","4,4","0,0","130 023 424","100 657 672","9 832","0","34","24"
"09:22:08.850, 16 maj 2023","4,3","0,1","130 023 424","100 944 768","9 832","0","34","24"
"09:22:09.851, 16 maj 2023","4,6","0,1","130 023 424","101 215 808","9 832","0","34","24"
"09:22:10.852, 16 maj 2023","4,4","0,1","130 023 424","99 519 648","9 832","0","34","24"
"09:22:11.852, 16 maj 2023","5,5","0,1","130 023 424","99 939 744","9 832","0","34","24"
"09:22:12.852, 16 maj 2023","4,7","0,1","130 023 424","98 293 888","9 832","0","34","24"
"09:22:13.852, 16 maj 2023","4,6","0,1","130 023 424","98 604 160","9 832","0","34","24"
"09:22:14.853, 16 maj 2023","4,6","0,1","130 023 424","98 929 152","9 832","0","34","24"
"09:22:15.854, 16 maj 2023","4,4","0,0","157 286 400","105 586 352","9 832","0","34","24"
"09:22:16.854, 16 maj 2023","4,2","0,0","157 286 400","122 581 696","9 832","0","34","24"
"09:22:17.854, 16 maj 2023","4,2","0,0","157 286 400","106 105 856","9 832","0","34","24"
"09:22:18.856, 16 maj 2023","4,1","0,0","157 286 400","122 979 392","9 832","0","34","24"
"09:22:19.856, 16 maj 2023","4,2","0,0","157 286 400","108 556 560","9 832","0","33","23"
"09:22:20.856, 16 maj 2023","4,2","0,0","157 286 400","125 277 504","9 832","0","33","23"
"09:22:21.856, 16 maj 2023","4,2","0,0","157 286 400","110 768 344","9 832","0","33","23"
"09:22:22.856, 16 maj 2023","4,2","0,0","157 286 400","125 475 984","9 832","0","33","23"
"09:22:23.857, 16 maj 2023","4,7","0,0","157 286 400","110 861 520","9 832","0","32","22"
"09:22:24.857, 16 maj 2023","4,1","0,0","157 286 400","129 650 976","9 832","0","32","22"
"09:22:25.859, 16 maj 2023","4,3","0,0","157 286 400","113 008 784","9 832","0","32","22"
"09:22:26.859, 16 maj 2023","4,2","0,0","157 286 400","131 886 256","9 832","0","31","21"
"09:22:27.860, 16 maj 2023","4,2","0,0","157 286 400","113 070 016","9 832","0","31","21"
"09:22:28.862, 16 maj 2023","4,2","0,0","157 286 400","132 091 408","9 832","0","31","21"
"09:22:29.862, 16 maj 2023","4,2","0,0","157 286 400","115 494 656","9 832","0","31","21"
"09:22:30.864, 16 maj 2023","4,3","0,0","157 286 400","128 077 592","9 832","0","31","21"
"09:22:31.864, 16 maj 2023","4,7","0,0","157 286 400","115 594 240","9 832","0","31","21"
"09:22:32.864, 16 maj 2023","4,3","0,0","157 286 400","101 030 120","9 832","0","31","21"
"09:22:33.866, 16 maj 2023","4,3","0,0","157 286 400","117 862 400","9 832","0","31","21"
"09:22:34.867, 16 maj 2023","4,2","0,0","157 286 400","105 442 400","9 832","0","31","21"
"09:22:35.869, 16 maj 2023","4,3","0,0","157 286 400","128 647 744","9 832","0","31","21"
"09:22:36.869, 16 maj 2023","4,2","0,0","157 286 400","122 276 376","9 832","0","31","21"
"09:22:37.869, 16 maj 2023","4,3","0,0","157 286 400","112 123 648","9 832","0","32","22"
"09:22:38.870, 16 maj 2023","4,2","0,0","157 286 400","105 779 200","9 832","0","32","22"
"09:22:39.870, 16 maj 2023","4,2","0,0","157 286 400","122 698 840","9 832","0","32","22"
"09:22:40.870, 16 maj 2023","4,3","0,0","157 286 400","118 434 240","9 832","0","32","22"
"09:22:41.872, 16 maj 2023","4,3","0,0","157 286 400","108 071 552","9 832","0","32","22"
"09:22:42.872, 16 maj 2023","4,2","0,0","157 286 400","127 104 000","9 832","0","32","22"
"09:22:43.874, 16 maj 2023","4,1","0,0","157 286 400","114 673 216","9 832","0","32","22"
"09:22:44.875, 16 maj 2023","4,2","0,0","157 286 400","108 293 744","9 832","0","32","22"
"09:22:45.875, 16 maj 2023","4,2","0,0","157 286 400","127 221 648","9 832","0","32","22"
"09:22:46.876, 16 maj 2023","4,3","0,0","157 286 400","114 780 184","9 832","0","32","22"
"09:22:47.878, 16 maj 2023","4,3","0,0","157 286 400","104 297 648","9 832","0","32","22"
"09:22:48.878, 16 maj 2023","4,1","0,0","157 286 400","121 079 080","9 832","0","32","22"
"09:22:49.880, 16 maj 2023","4,2","0,0","157 286 400","110 688 320","9 832","0","32","22"
"09:22:50.881, 16 maj 2023","4,1","0,0","157 286 400","129 540 128","9 832","0","32","22"
"09:22:51.881, 16 maj 2023","4,3","0,0","157 286 400","117 125 856","9 832","0","32","22"
"09:22:52.881, 16 maj 2023","4,4","0,0","157 286 400","106 557 272","9 832","0","32","22"
"09:22:53.882, 16 maj 2023","4,2","0,0","157 286 400","123 395 104","9 832","0","32","22"
"09:22:54.882, 16 maj 2023","4,4","0,0","157 286 400","112 985 440","9 832","0","32","22"
"09:22:55.883, 16 maj 2023","4,2","0,0","157 286 400","129 817 504","9 832","0","32","22"
"09:22:56.883, 16 maj 2023","4,2","0,0","157 286 400","119 510 944","9 832","0","32","22"
"09:22:57.883, 16 maj 2023","4,4","0,0","157 286 400","107 167 184","9 832","0","32","22"
"09:22:58.885, 16 maj 2023","4,2","0,0","157 286 400","105 243 520","9 832","0","32","22"
"09:22:59.886, 16 maj 2023","4,2","0,0","157 286 400","126 095 480","9 832","0","32","22"
"09:23:00.886, 16 maj 2023","4,3","0,0","157 286 400","121 944 936","9 832","0","32","22"
"09:23:01.887, 16 maj 2023","4,3","0,0","157 286 400","109 572 064","9 832","0","32","22"
"09:23:02.887, 16 maj 2023","4,2","0,0","157 286 400","126 318 520","9 832","0","32","22"
"09:23:03.888, 16 maj 2023","4,9","0,0","157 286 400","115 917 432","9 832","0","32","22"
"09:23:04.889, 16 maj 2023","4,3","0,0","157 286 400","105 730 048","9 832","0","32","22"
"09:23:05.890, 16 maj 2023","4,2","0,0","157 286 400","124 647 424","9 832","0","32","22"
"09:23:06.890, 16 maj 2023","4,5","0,0","157 286 400","116 287 320","9 832","0","32","22"
"09:23:07.890, 16 maj 2023","4,3","0,0","157 286 400","108 098 560","9 832","0","31","21"
"09:23:08.891, 16 maj 2023","4,6","0,0","157 286 400","129 008 192","9 832","0","32","22"
"09:23:09.891, 16 maj 2023","4,2","0,0","157 286 400","125 405 440","9 832","0","32","22"
"09:23:10.891, 16 maj 2023","4,3","0,0","157 286 400","125 636 128","9 832","0","32","22"
"09:23:11.893, 16 maj 2023","4,6","0,0","157 286 400","105 018 240","9 832","0","32","22"
"09:23:12.893, 16 maj 2023","4,3","0,0","157 286 400","105 227 392","9 832","0","32","22"
"09:23:13.894, 16 maj 2023","4,3","0,0","157 286 400","105 308 400","9 832","0","32","22"
"09:23:14.896, 16 maj 2023","4,3","0,0","157 286 400","105 409 472","9 832","0","32","22"
"09:23:15.897, 16 maj 2023","4,3","0,0","157 286 400","107 777 568","9 832","0","32","22"
"09:23:16.897, 16 maj 2023","4,2","0,0","157 286 400","132 926 976","9 832","0","32","22"
"09:23:17.897, 16 maj 2023","4,6","0,0","157 286 400","105 950 688","9 832","0","32","22"
"09:23:18.898, 16 maj 2023","4,1","0,0","157 286 400","128 956 200","9 832","0","32","22"
"09:23:19.900, 16 maj 2023","4,3","0,0","157 286 400","106 096 640","9 832","0","32","22"
"09:23:20.900, 16 maj 2023","4,3","0,0","157 286 400","129 138 720","9 832","0","32","22"
"09:23:21.902, 16 maj 2023","4,2","0,0","157 286 400","124 966 752","9 832","0","32","22"
"09:23:22.902, 16 maj 2023","4,5","0,0","157 286 400","123 012 592","9 832","0","32","22"
"09:23:23.902, 16 maj 2023","4,2","0,0","157 286 400","116 788 792","9 832","0","32","22"
"09:23:24.903, 16 maj 2023","4,2","0,0","157 286 400","114 703 152","9 832","0","32","22"
"09:23:25.903, 16 maj 2023","4,2","0,0","157 286 400","110 577 480","9 832","0","32","22"
